Date,Open,High,Low,Close,Volume
27-Sep-16,4.30,4.36,4.28,4.35,4596136
26-Sep-16,4.35,4.38,4.33,4.33,5075146
23-Sep-16,4.41,4.44,4.40,4.43,4115397
22-Sep-16,4.61,4.63,4.54,4.57,3828864
21-Sep-16,4.43,4.51,4.42,4.51,4324281
20-Sep-16,4.36,4.36,4.30,4.32,3222790
19-Sep-16,4.38,4.39,4.32,4.33,2848942
16-Sep-16,4.33,4.35,4.31,4.33,4182237
15-Sep-16,4.39,4.47,4.38,4.47,5399599
14-Sep-16,4.41,4.47,4.38,4.40,4759971
13-Sep-16,4.52,4.55,4.44,4.47,5487035
12-Sep-16,4.53,4.66,4.53,4.65,16993503
9-Sep-16,4.73,4.75,4.63,4.65,15042009
8-Sep-16,4.69,4.75,4.66,4.73,8709103
7-Sep-16,4.62,4.64,4.60,4.61,3284178
6-Sep-16,4.64,4.65,4.55,4.57,3753934
2-Sep-16,4.54,4.58,4.50,4.56,4204522
1-Sep-16,4.55,4.58,4.47,4.52,6389802
31-Aug-16,4.47,4.51,4.44,4.48,7277302
30-Aug-16,4.37,4.40,4.35,4.37,3664369
29-Aug-16,4.29,4.32,4.29,4.32,2877097
26-Aug-16,4.35,4.40,4.26,4.31,5166948
25-Aug-16,4.32,4.34,4.30,4.32,2986866
24-Aug-16,4.32,4.35,4.31,4.32,3888228
23-Aug-16,4.26,4.28,4.25,4.26,4066794
22-Aug-16,4.12,4.17,4.10,4.16,2442171
19-Aug-16,4.10,4.15,4.08,4.15,4951796
18-Aug-16,4.18,4.23,4.17,4.21,3069466
17-Aug-16,4.23,4.25,4.18,4.23,3864224
16-Aug-16,4.30,4.32,4.28,4.28,3482969
15-Aug-16,4.28,4.31,4.26,4.28,3824346
12-Aug-16,4.29,4.30,4.26,4.29,3095349
11-Aug-16,4.27,4.30,4.26,4.28,3474807
10-Aug-16,4.31,4.31,4.25,4.26,4263698
9-Aug-16,4.21,4.26,4.21,4.21,3857515
8-Aug-16,4.19,4.21,4.16,4.19,6011526
5-Aug-16,4.07,4.14,4.07,4.13,5539839
4-Aug-16,4.02,4.06,4.00,4.02,8096875
3-Aug-16,3.91,3.98,3.89,3.98,8919682
2-Aug-16,3.99,3.99,3.93,3.95,12023045
1-Aug-16,4.18,4.18,4.09,4.11,6467610
29-Jul-16,4.24,4.26,4.20,4.24,5779817
28-Jul-16,4.15,4.15,4.11,4.13,7158408
27-Jul-16,4.28,4.31,4.21,4.25,7475914
26-Jul-16,4.13,4.16,4.11,4.13,5560451
25-Jul-16,4.19,4.20,4.14,4.14,3062077
22-Jul-16,4.29,4.30,4.22,4.25,5039926
21-Jul-16,4.27,4.32,4.20,4.23,6149667
20-Jul-16,4.17,4.21,4.14,4.20,5390957
19-Jul-16,4.15,4.18,4.11,4.14,7023384
18-Jul-16,4.18,4.26,4.14,4.21,3467550
15-Jul-16,4.27,4.28,4.19,4.22,3271726
14-Jul-16,4.23,4.27,4.21,4.26,8063476
13-Jul-16,4.22,4.24,4.12,4.13,7867114
12-Jul-16,4.21,4.23,4.17,4.21,9792267
11-Jul-16,3.96,3.99,3.94,3.96,9371526
8-Jul-16,3.92,3.93,3.84,3.90,7416009
7-Jul-16,3.75,3.79,3.70,3.73,7216310
6-Jul-16,3.71,3.78,3.63,3.78,18174729
5-Jul-16,3.85,3.86,3.74,3.74,7840925
1-Jul-16,3.94,3.96,3.89,3.91,16826861
30-Jun-16,3.81,3.93,3.75,3.92,16019140
29-Jun-16,3.90,3.91,3.86,3.89,14605419
28-Jun-16,3.80,3.86,3.72,3.84,21220602
27-Jun-16,3.70,3.71,3.60,3.69,21358636
24-Jun-16,3.71,3.93,3.70,3.83,79022719
23-Jun-16,4.73,4.80,4.66,4.80,9123200
22-Jun-16,4.59,4.62,4.52,4.53,6209067
21-Jun-16,4.48,4.57,4.44,4.54,6222302
20-Jun-16,4.47,4.49,4.41,4.41,6180934
17-Jun-16,4.27,4.35,4.25,4.34,6702221
16-Jun-16,4.04,4.20,3.99,4.19,7809405
15-Jun-16,4.13,4.19,4.10,4.11,7019084
14-Jun-16,4.14,4.19,4.05,4.09,9573865
13-Jun-16,4.20,4.26,4.17,4.17,8369719
10-Jun-16,4.40,4.41,4.29,4.32,6911135
9-Jun-16,4.61,4.63,4.56,4.59,4627761
8-Jun-16,4.64,4.67,4.61,4.63,2701243
7-Jun-16,4.66,4.71,4.66,4.66,3139418
