Date,Open,High,Low,Close,Volume
26-Aug-16,0.01,0.01,0.01,0.01,3289326
25-Aug-16,0.01,0.01,0.01,0.01,4126254
24-Aug-16,0.01,0.01,0.01,0.01,2812662
23-Aug-16,0.01,0.02,0.01,0.01,1866464
22-Aug-16,0.01,0.02,0.01,0.01,3137557
19-Aug-16,0.02,0.02,0.01,0.02,5759244
18-Aug-16,0.01,0.02,0.01,0.01,3043804
17-Aug-16,0.01,0.02,0.01,0.01,5672276
16-Aug-16,0.02,0.02,0.01,0.02,4601646
15-Aug-16,0.01,0.02,0.01,0.02,5839001
12-Aug-16,0.02,0.02,0.01,0.01,11303669
11-Aug-16,0.02,0.02,0.01,0.02,19383304
10-Aug-16,0.02,0.02,0.02,0.02,4704737
9-Aug-16,0.02,0.02,0.02,0.02,7248326
8-Aug-16,0.02,0.02,0.02,0.02,9860525
5-Aug-16,0.02,0.02,0.02,0.02,10754773
4-Aug-16,0.02,0.02,0.02,0.02,30721039
3-Aug-16,0.01,0.02,0.01,0.02,18654157
2-Aug-16,0.01,0.02,0.01,0.01,10667808
1-Aug-16,0.02,0.02,0.01,0.01,12641320
29-Jul-16,0.01,0.02,0.01,0.02,23864886
28-Jul-16,0.01,0.01,0.01,0.01,7238499
27-Jul-16,0.01,0.01,0.01,0.01,4194076
26-Jul-16,0.01,0.01,0.01,0.01,4060168
25-Jul-16,0.01,0.01,0.01,0.01,3923506
22-Jul-16,0.01,0.01,0.01,0.01,15312626
21-Jul-16,0.01,0.01,0.01,0.01,4208921
20-Jul-16,0.01,0.01,0.01,0.01,6824575
19-Jul-16,0.01,0.01,0.01,0.01,3907409
18-Jul-16,0.01,0.02,0.01,0.01,4615646
15-Jul-16,0.01,0.01,0.01,0.01,4447017
14-Jul-16,0.01,0.01,0.01,0.01,3435201
13-Jul-16,0.01,0.01,0.01,0.01,3143073
12-Jul-16,0.01,0.02,0.01,0.01,3007837
11-Jul-16,0.01,0.02,0.01,0.01,3227134
8-Jul-16,0.01,0.02,0.01,0.02,3311848
7-Jul-16,0.01,0.02,0.01,0.01,2572087
6-Jul-16,0.01,0.02,0.01,0.01,4900876
5-Jul-16,0.02,0.02,0.01,0.01,5642801
1-Jul-16,0.02,0.02,0.01,0.02,9254703
30-Jun-16,0.01,0.02,0.01,0.02,13385488
29-Jun-16,0.01,0.01,0.01,0.01,9503720
28-Jun-16,0.01,0.01,0.01,0.01,13427736
27-Jun-16,0.01,0.01,0.01,0.01,8010930
24-Jun-16,0.01,0.01,0.01,0.01,7221010
23-Jun-16,0.01,0.01,0.01,0.01,1522791
22-Jun-16,0.02,0.02,0.01,0.01,10715608
21-Jun-16,0.01,0.02,0.01,0.01,4811474
20-Jun-16,0.01,0.02,0.01,0.01,3406798
17-Jun-16,0.02,0.02,0.01,0.01,7682967
16-Jun-16,0.01,0.02,0.01,0.02,3753347
15-Jun-16,0.02,0.02,0.01,0.01,2671738
14-Jun-16,0.02,0.02,0.01,0.02,6146446
13-Jun-16,0.02,0.02,0.02,0.02,5816582
10-Jun-16,0.02,0.02,0.01,0.02,12444495
9-Jun-16,0.02,0.02,0.02,0.02,3021804
8-Jun-16,0.02,0.02,0.02,0.02,4377504
7-Jun-16,0.02,0.02,0.02,0.02,7384193
6-Jun-16,0.02,0.02,0.02,0.02,3639120
3-Jun-16,0.02,0.02,0.02,0.02,5005015
